Tour,Joueur,Mouvement,Pice,Position,start,end,Piece
1,White,e2e4,,♙ moved from e2 to e4,"(6, 4)","(4, 4)",♙
1,Black,d7d5,,♟ moved from d7 to d5,"(1, 3)","(3, 3)",♟
2,White,d2d4,,♙ moved from d2 to d4,"(6, 3)","(4, 3)",♙
2,Black,d5e4,,♟ moved from d5 to e4,"(3, 3)","(4, 4)",♟
3,White,f1b5,,♗ moved from f1 to b5 - ÉCHEC au roi black !,"(7, 5)","(3, 1)",♗
3,Black,c7c6,,♟ moved from c7 to c6,"(1, 2)","(2, 2)",♟
4,White,b5c4,,♗ moved from b5 to c4,"(3, 1)","(4, 2)",♗
4,Black,d8a5,,♛ moved from d8 to a5 - ÉCHEC au roi white !,"(0, 3)","(3, 0)",♛
5,White,e1f1,,♔ moved from e1 to f1,"(7, 4)","(7, 5)",♔
5,Black,g8f6,,♞ moved from g8 to f6,"(0, 6)","(2, 5)",♞
6,White,c1e3,,♗ moved from c1 to e3,"(7, 2)","(5, 4)",♗
6,Black,c8f5,,♝ moved from c8 to f5,"(0, 2)","(3, 5)",♝
7,White,d1e2,,♕ moved from d1 to e2,"(7, 3)","(6, 4)",♕
7,Black,a5e5,,♛ moved from a5 to e5,"(3, 0)","(3, 4)",♛
8,White,d4e5,,♙ moved from d4 to e5,"(4, 3)","(3, 4)",♙
8,Black,f6d7,,♞ moved from f6 to d7,"(2, 5)","(1, 3)",♞
9,White,e3d4,,♗ moved from e3 to d4,"(5, 4)","(4, 3)",♗
9,Black,f5e6,,♝ moved from f5 to e6,"(3, 5)","(2, 4)",♝
10,White,e2e4,,♕ moved from e2 to e4,"(6, 4)","(4, 4)",♕
10,Black,e6c4,,♝ moved from e6 to c4 - ÉCHEC au roi white !,"(2, 4)","(4, 2)",♝
