Tour,Joueur,Mouvement,Pice,Position,start,end,Piece
1,White,e2e4,,♙ moved from e2 to e4,"(6, 4)","(4, 4)",♙
1,Black,e7e5,,♟ moved from e7 to e5,"(1, 4)","(3, 4)",♟
2,White,b1c3,,♘ moved from b1 to c3,"(7, 1)","(5, 2)",♘
2,Black,d7d5,,♟ moved from d7 to d5,"(1, 3)","(3, 3)",♟
3,White,f1b5,,♗ moved from f1 to b5 - ÉCHEC au roi black !,"(7, 5)","(3, 1)",♗
3,Black,e8e7,,♚ moved from e8 to e7,"(0, 4)","(1, 4)",♚
4,White,c3d5,,♘ moved from c3 to d5 - ÉCHEC au roi black !,"(5, 2)","(3, 3)",♘
4,Black,d8d5,,♛ moved from d8 to d5,"(0, 3)","(3, 3)",♛
5,White,e4d5,,♙ moved from e4 to d5,"(4, 4)","(3, 3)",♙
5,Black,g8f6,,♞ moved from g8 to f6,"(0, 6)","(2, 5)",♞
6,White,g1f3,,♘ moved from g1 to f3,"(7, 6)","(5, 5)",♘
6,Black,f6d5,,♞ moved from f6 to d5,"(2, 5)","(3, 3)",♞
7,White,f3e5,,♘ moved from f3 to e5,"(5, 5)","(3, 4)",♘
7,Black,f7f6,,♟ moved from f7 to f6,"(1, 5)","(2, 5)",♟
8,White,e5c4,,♘ moved from e5 to c4,"(3, 4)","(4, 2)",♘
8,Black,c8e6,,♝ moved from c8 to e6,"(0, 2)","(2, 4)",♝
9,White,d2d4,,♙ moved from d2 to d4,"(6, 3)","(4, 3)",♙
9,Black,e7f7,,♚ moved from e7 to f7,"(1, 4)","(1, 5)",♚
10,White,d1h5,,♕ moved from d1 to h5 - ÉCHEC au roi black !,"(7, 3)","(3, 7)",♕
10,Black,f7g8,,♚ moved from f7 to g8,"(1, 5)","(0, 6)",♚
11,White,e1g1,,♔ moved from e1 to g1,"(7, 4)","(7, 6)",♔
11,Black,e6f5,,♝ moved from e6 to f5,"(2, 4)","(3, 5)",♝
12,White,h5f5,,♕ moved from h5 to f5,"(3, 7)","(3, 5)",♕
12,Black,d5b4,,♞ moved from d5 to b4,"(3, 3)","(4, 1)",♞
13,White,f5e6,,♕ moved from f5 to e6 - ÉCHEC ET MAT ! White gagne.,"(3, 5)","(2, 4)",♕
